지역,HL_Score,HL정책비교순위,HL정책검토등급,HL정책순위포함여부,HL비교가능성,HL산출유형,월환산주거비,월환산주거비_평균값_만원,전체거래건수,HL주거표본판정,HL데이터주의사항,생활인프라점수,2030선호시설점수,교통접근성점수,주거가성비점수,HL취약유형,HL취약요인수,HL주요취약요인,HL정책검토방향,2030인구수,2030인구비율,생활시설_1000명당,버스정류소_1000명당,선호시설_1000명당,가장가까운_버스정류소_m,생활시설_상대부족,교통_상대부족,선호시설_상대부족,2030인구_TOP10,수요대비인프라후보,수요대비우선후보,수요대비부족분야,두분석_동시신호,최종정책유형,정책근거요약,통합정책제안
서구 풍암동,43.5,21.0,우선 개선 검토,True,정상,4개 영역 전체 반영,51.71,51.71,152,정상,,47.0,59.5,8.7,44.0,생활·교통 취약형,2,"생활인프라, 교통접근성",생활SOC·의료·편의·문화시설 확충 필요성 검토 / 버스정류장 및 대중교통 접근성 개선 필요성 검토,7536,22.93,57.72,6.24,16.06,266.6,True,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설",True,복합 최우선 검토,"HL-Score 분석에서 생활인프라, 교통접근성 취약 신호가 나타났으며, 청년 인구 대비 생활 인프라, 교통, 청년 선호시설 공급도 상대적으로 부족한 지역.",주거·교통·생활환경 통합 현장진단 우선 검토 · 생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
남구 진월동,44.5,19.0,관심 검토,True,정상,4개 영역 전체 반영,41.75,41.75,265,정상,,44.2,30.1,27.7,65.2,복합 취약형,3,"생활인프라, 2030선호시설, 교통접근성",생활SOC·의료·편의·문화시설 확충 필요성 검토 / 청년 문화·운동·생활편의시설 확충 필요성 검토 / 버스정류장 및 대중교통 접근성 개선 필요성 검토,5608,20.93,103.42,9.09,9.45,153.4,True,True,True,True,True,False,"생활 인프라, 교통, 청년 선호시설",True,복합 관심 검토,"HL-Score 분석에서 생활인프라, 2030선호시설, 교통접근성 취약 신호가 나타났으며, 청년 인구 대비 생활 인프라, 교통, 청년 선호시설 공급도 상대적으로 부족한 지역.",주거·교통·생활환경 통합 현장진단 우선 검토 · 생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 청년 문화·운동·생활편의시설 공급 확대 가능성 검토 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
서구 금호1동,45.2,18.0,관심 검토,True,정상,4개 영역 전체 반영,50.67,50.67,137,정상,,50.5,43.1,36.1,46.2,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,4710,22.63,141.4,13.8,16.14,185.6,True,True,True,True,True,False,"생활 인프라, 교통, 청년 선호시설",True,복합 관심 검토,"HL-Score가 상대적으로 낮게 나타났으며, 청년 인구 대비 생활 인프라, 교통, 청년 선호시설 공급도 상대적으로 부족한 지역.",주거·교통·생활환경 통합 현장진단 우선 검토 · 생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
남구 송암동,47.8,15.0,관심 검토,True,정상,4개 영역 전체 반영,30.07,30.07,92,정상,,29.9,22.4,41.3,90.1,생활·청년시설 취약형,2,"생활인프라, 2030선호시설",생활SOC·의료·편의·문화시설 확충 필요성 검토 / 청년 문화·운동·생활편의시설 확충 필요성 검토,4836,23.73,39.08,11.79,9.72,93.2,True,True,True,True,True,False,"생활 인프라, 교통, 청년 선호시설",True,복합 관심 검토,"HL-Score 분석에서 생활인프라, 2030선호시설 취약 신호가 나타났으며, 청년 인구 대비 생활 인프라, 교통, 청년 선호시설 공급도 상대적으로 부족한 지역.",주거·교통·생활환경 통합 현장진단 우선 검토 · 생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 청년 문화·운동·생활편의시설 공급 확대 가능성 검토 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
남구 효덕동,42.3,24.0,우선 개선 검토,True,정상,4개 영역 전체 반영,25.44,25.44,277,정상,,3.7,20.3,40.7,100.0,생활·청년시설 취약형,2,"생활인프라, 2030선호시설",생활SOC·의료·편의·문화시설 확충 필요성 검토 / 청년 문화·운동·생활편의시설 확충 필요성 검토,3458,23.48,40.2,16.77,5.78,104.7,True,True,True,False,False,False,"생활 인프라, 교통, 청년 선호시설",False,주거환경 개선 우선,"HL-Score 상대 하위권 지역으로, 생활인프라, 2030선호시설 부문의 우선 점검이 필요한 지역.",생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 청년 문화·운동·생활편의시설 공급 확대 가능성 검토
동구 지원1동,43.1,23.0,우선 개선 검토,True,정상,4개 영역 전체 반영,40.69,40.69,33,정상,,53.7,24.2,4.6,67.5,청년시설·교통 취약형,2,"2030선호시설, 교통접근성",청년 문화·운동·생활편의시설 확충 필요성 검토 / 버스정류장 및 대중교통 접근성 개선 필요성 검토,1870,21.62,164.17,26.74,20.32,322.9,True,False,False,False,False,False,생활 인프라,False,주거환경 개선 우선,"HL-Score 상대 하위권 지역으로, 2030선호시설, 교통접근성 부문의 우선 점검이 필요한 지역.",청년 문화·운동·생활편의시설 공급 확대 가능성 검토 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
북구 운암1동,43.1,22.0,우선 개선 검토,True,정상,4개 영역 전체 반영,56.83,56.83,65,정상,,50.0,55.6,28.8,33.1,교통·주거 취약형,2,"교통접근성, 주거가성비",버스정류장 및 대중교통 접근성 개선 필요성 검토 / 청년 주거비 지원·공공임대·부담 가능한 주택 공급 필요성 검토,3638,20.92,238.04,22.54,31.89,333.5,False,False,False,False,False,False,상대부족 없음,False,주거환경 개선 우선,"HL-Score 상대 하위권 지역으로, 교통접근성, 주거가성비 부문의 우선 점검이 필요한 지역.",노선 수·배차간격을 포함한 대중교통 서비스 수준 점검 · 청년 주거비 부담 완화 및 공공임대 연계 가능성 검토
광산구 신가동,43.8,20.0,우선 개선 검토,True,저표본 주의,4개 영역 전체 반영,39.46,39.46,13,저표본 주의,주거 거래 5~19건으로 주거비 해석 시 주의 필요,40.5,34.0,14.1,70.1,복합 취약형,3,"생활인프라, 2030선호시설, 교통접근성",생활SOC·의료·편의·문화시설 확충 필요성 검토 / 청년 문화·운동·생활편의시설 확충 필요성 검토 / 버스정류장 및 대중교통 접근성 개선 필요성 검토,4415,24.29,185.5,10.87,15.63,233.7,False,True,True,False,False,False,"교통, 청년 선호시설",False,주거환경 개선 우선,"HL-Score 상대 하위권 지역으로, 생활인프라, 2030선호시설, 교통접근성 부문의 우선 점검이 필요한 지역. 단, 주거 실거래 표본이 5~19건으로 주거비 해석에 주의가 필요함.",생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 청년 문화·운동·생활편의시설 공급 확대 가능성 검토 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
광산구 우산동,58.0,9.0,일반 관찰,True,정상,4개 영역 전체 반영,42.2,42.2,520,정상,,57.1,57.4,48.6,64.3,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,7316,26.66,69.44,9.98,11.07,135.6,True,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설",False,청년수요 대응 우선,"2030 청년 수요가 큰 반면 생활 인프라, 교통, 청년 선호시설 공급 수준이 상대적으로 낮은 지역.",생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
북구 첨단2동,62.8,7.0,일반 관찰,True,정상,4개 영역 전체 반영,44.82,44.82,794,정상,,59.7,73.1,59.8,58.7,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,12308,30.83,76.37,7.64,9.18,150.8,True,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설",False,청년수요 대응 우선,"2030 청년 수요가 큰 반면 생활 인프라, 교통, 청년 선호시설 공급 수준이 상대적으로 낮은 지역.",생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검
